AudioFile,Volume,Sentence
spf_270.wav,2,You knew about the clip
spf_157.wav,5,The steamship left on a cruise
spf_183.wav,5,The woman talked about the frogs
spf_267.wav,1,The fruit was shipped in wooden crates
spf_116.wav,3,He could discuss the bread
spf_239.wav,1,A chimpanzee is an ape
spf_85.wav,3,Tom is considering the clock
spf_295.wav,3,Get the bread and cut me a slice
spf_110.wav,3,Tom will discuss the swan
spf_211.wav,4,Betty knew about the nap
spf_158.wav,2,Miss Smith considered the scare
spf_13.wav,2,Hold the baby on your lap
spf_298.wav,4,The candle burned with a bright flame
spf_164.wav,1,Ruth poured herself a cup of tea
spf_108.wav,2,Watermelons have lots of seeds
spf_215.wav,5,Eve was made from Adam’s rib
spf_151.wav,5,He hears she asked about the deck
spf_228.wav,1,The house was robbed by a thief
spf_27.wav,2,I had not thought about the growl
spf_16.wav,1,Ruth hopes he heard about the hips
spf_186.wav,5,They did not discuss the screen
spf_282.wav,2,He rode off in a cloud of dust
spf_32.wav,2,The beer drinkers raised their mugs
spf_78.wav,3,You had a problem with the blush
spf_94.wav,2,The farmer baled the hay
spf_125.wav,4,Mr. Brown carved the roast beef
spf_146.wav,2,We shipped the furniture by truck
spf_3.wav,3,Miss White won’t think about the crack
spf_196.wav,1,Bill can’t have considered the wheels
spf_266.wav,2,The class should consider the flood
spf_283.wav,3,Miss Brown might consider the coast
spf_162.wav,4,The meat from a pig is called pork
spf_135.wav,4,The man spoke about the clue
spf_2.wav,1,Stir your coffee with a spoon
spf_6.wav,2,The old train was powered by steam
spf_121.wav,4,The storm broke the sailboat’s mast
spf_276.wav,2,A termite looks like an ant
spf_181.wav,1,The lion gave an angry roar
spf_68.wav,3,She hopes Jane called about the calf
spf_87.wav,1,You should not speak about the braids
spf_104.wav,5,We’re discussing the sheets
spf_70.wav,4,She shortened the hem of her skirt
spf_174.wav,2,She wore a feather in her cap
spf_28.wav,1,The scarf was made of shiny silk
spf_102.wav,5,The king wore a golden crown
spf_48.wav,3,He was scared out of his wits
spf_268.wav,3,I’m talking about the bench
spf_231.wav,4,Tom had spoken about the pill
spf_285.wav,2,The bloodhound followed the trail
spf_145.wav,5,Mr. White spoke about the firm
spf_258.wav,3,The candle flame melted the wax
spf_176.wav,4,Mary could not discuss the tack
spf_271.wav,4,The boy had considered the mink
spf_141.wav,5,Bill heard Tom called about the coach
spf_79.wav,3,The flood took a heavy toll
spf_77.wav,4,The ship’s captain summoned his crew
spf_44.wav,1,We’re lost so let’s look at the map
spf_281.wav,5,Mr. White spoke about the jail
spf_204.wav,5,Mr. Brown can’t discuss the slot
spf_180.wav,1,We’re glad Bill heard about the ash
spf_278.wav,4,The class is discussing the wrist
spf_259.wav,2,I haven’t discussed the sponge
spf_56.wav,4,The ducks swam around on the pond
spf_71.wav,1,The baby slept in his crib
spf_209.wav,1,David might consider the fun
spf_64.wav,1,Ruth poured the water down the drain
spf_244.wav,4,To store his wood he built a shed
spf_51.wav,5,Wipe your greasy hands on that rag
spf_143.wav,1,Jane has spoken about the chest
spf_187.wav,4,Her entry should win first prize
spf_107.wav,1,Betty considered the bark
spf_188.wav,4,Paul wants to speak about the bugs
spf_238.wav,1,Ann works in the bank as a clerk
spf_113.wav,4,You’d been considering the geese
spf_198.wav,4,Your knees and your elbows are joints
spf_63.wav,3,The cushion was filled with foam
spf_19.wav,4,They had a problem with the cliff
spf_103.wav,3,The girl swept the floor with a broom
spf_182.wav,5,The sandal has a broken strap
spf_251.wav,4,"Instead of a fence, plant a hedge"
spf_250.wav,1,The fireman heard her frightened scream
spf_95.wav,5,The natives built a wooden hut
spf_184.wav,5,Nancy should consider the fist
spf_17.wav,5,The war was fought with armored tanks
spf_237.wav,4,Mary can’t consider the tide
spf_55.wav,3,Paul hit the water with a splash
spf_249.wav,4,The airplane went into a dive
spf_248.wav,2,Mary knows about the rug
spf_191.wav,3,A zebra has black and white stripes
spf_286.wav,5,Tom could have thought about the sport
spf_199.wav,4,Mr. Smith spoke about the aid
spf_246.wav,2,They heard I asked about the bet
spf_83.wav,4,The policeman captured the crook
spf_234.wav,3,The secret agent was a spy
spf_263.wav,4,Ruth will consider the herd
spf_167.wav,3,How did your car get that dent
spf_190.wav,4,You’re glad she called about the bowl
spf_74.wav,3,The guests were welcomed by the host
spf_57.wav,2,Ruth must have known about the pie
spf_101.wav,2,You want to talk about the ditch
spf_50.wav,2,I’ve spoken about the pile
spf_247.wav,5,The mouse was caught in the trap
spf_233.wav,5,"It’s getting dark, so light the lamp"
spf_49.wav,2,We spoke about the knob
spf_280.wav,1,They hope he heard about the rent
spf_219.wav,4,We’ve been thinking about the fan
spf_58.wav,3,The man should discuss the ox
spf_383.wav,1,Paul has a problem with the belt
spf_91.wav,5,Follow this road around the bend
spf_137.wav,2,Please wipe your feet on the mat
spf_47.wav,2,My son has a dog for a pet
spf_67.wav,3,The sport shirt has short sleeves
spf_25.wav,4,They tracked the lion to his den
spf_207.wav,3,Miss Brown shouldn’t discuss the sand
spf_291.wav,5,The doctor charged a low fee
spf_243.wav,2,Paul hopes we heard about the loot
spf_262.wav,1,Ruth had a necklace of glass beads
spf_1.wav,1,His plan meant taking a big risk
spf_288.wav,5,He should consider the roast
spf_272.wav,1,She might consider the pool
spf_133.wav,5,How much can I buy for a dime
spf_257.wav,3,The widow’s sob expressed her grief
spf_111.wav,2,Kill the bugs with this spray
spf_99.wav,1,He heard they called about the lanes
spf_178.wav,3,The cabin was made of logs
spf_45.wav,5,No one was injured in the crash
spf_220.wav,5,Jane didn’t think about the brook
spf_275.wav,2,He got drunk in the local bar
spf_61.wav,2,The cigarette smoke filled his lungs
spf_93.wav,1,Miss Black would consider the bone
spf_148.wav,1,She’s spoken about the bomb
spf_152.wav,5,Raise the flag up the pole
spf_9.wav,5,Let’s decide by tossing a coin
spf_66.wav,3,This nozzle sprays a fine mist
spf_194.wav,2,I hope Paul asked about the mate
spf_22.wav,1,The witness took a solemn oath
spf_163.wav,3,The old man considered the kick
spf_289.wav,3,Miss Brown spoke about the cave
spf_284.wav,3,Bill didn’t discuss the hen
spf_23.wav,3,We could consider the feast
spf_131.wav,5,He is considering the throat
spf_134.wav,1,We can’t consider the wheat
spf_261.wav,5,You were considering the gang
spf_117.wav,4,He tossed the drowning man a rope
spf_21.wav,2,You heard Jane called about the van
spf_73.wav,5,The girl talked about the gin
spf_166.wav,3,Paul could not consider the rim
spf_195.wav,2,Miss Brown will speak about the grin
spf_214.wav,4,He hasn’t considered the dart
spf_75.wav,1,Mary should think about the sword
